id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/4cb1aeb5-d822-4f2c-a7e6-ae2a132acf17,Adline Clarke,Democratic,97,lower,Adline,Clarke,,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Clarke_97.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100579&OID_PERSON=7425,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100579&OID_PERSON=7425;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx,"Suite 540-B;11 S. Union Street;Montgomery, AL 36130",adline.clarke@alhouse.gov,334-261-0549,,,,,,,,,
ocd-person/cb2488d5-f0b6-4e9f-948b-ff7e9f4e1907,Alan Baker,Republican,66,lower,Alan,Baker,,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Baker_66.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100548&OID_PERSON=8303,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100548&OID_PERSON=8303;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx,"Suite 427-B;11 S. Union Street;Montgomery, AL 36130",,334-261-0420,,,,,,,,,
ocd-person/b2f6e319-d4e7-448c-b496-01a2d65702e3,Allen Farley,Republican,15,lower,Allen,Farley,,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Farley_15.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100495&OID_PERSON=6663,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100495&OID_PERSON=6663;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx,"Suite 427-L;11 S. Union Street;Montgomery, AL 36130",allenfarley@bellsouth.net,334-261-0474,,,,,,,,,
ocd-person/3f96a690-e9a3-4774-8484-49a5a079b18c,Allen Treadaway,Republican,51,lower,Allen,Treadaway,,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Treadaway_51.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100532&OID_PERSON=5536,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100532&OID_PERSON=5536;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx,"Suite 528-A;11 S. Union Street;Montgomery, AL 36130",allen.treadaway@alhouse.gov,334-261-0585,,,,,,,,,
ocd-person/84d43460-8578-4b85-b2ee-7f6849e270d8,Andrew Jones,Republican,10,upper,Andrew,Jones,,,,,http://www.legislature.state.al.us/ALISWWW/Senate/Senator%20Pictures/Jones_10.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?OID_SPONSOR=100453&OID_PERSON=8483,http://www.legislature.state.al.us/aliswww/ISD/ALSenator.aspx?OID_SPONSOR=100453&OID_PERSON=8483;http://www.legislature.state.al.us/aliswww/ISD/Senate/ALSenators.aspx,"Suite 733;11 S. Union Street;Montgomery, AL 36130",,334-261-0857,,,,,,,,,
ocd-person/6e7f8f74-90fd-416b-b08e-188d6315b3ce,Andrew Sorrell,Republican,3,lower,Andrew,Sorrell,,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Sorrell_3.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100483&OID_PERSON=8489,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100483&OID_PERSON=8489;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx,"Suite 435;11 S. Union Street;Montgomery, AL 36130",,334-261-0435,,,,,,,,,
ocd-person/c128ed12-dd1b-4b5f-8c64-9d86bf9d6580,Andy Whitt,Republican,6,lower,Andy,Whitt,,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Whitt_6.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100486&OID_PERSON=8490,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100486&OID_PERSON=8490;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx,"Suite 401-C;11 S. Union Street;Montgomery, AL 36130",,334-261-0404,,,,,,,,,
ocd-person/95f7541d-5429-41aa-85e5-7fc9cf33d688,Anthony Daniels,Democratic,53,lower,Anthony,Daniels,,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Daniels_53.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100534&OID_PERSON=7711,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100534&OID_PERSON=7711;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx,"Suite 539-A;11 S. Union Street;Montgomery, AL 36130",,334-261-0522,,,,,,,,,
ocd-person/30bb72b4-d6c1-48d4-b85a-c8bd21c228a1,April Weaver,Republican,49,lower,April,Weaver,,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Weaver_49.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100530&OID_PERSON=6684,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100530&OID_PERSON=6684;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx,"Suite 417-J;11 S. Union Street;Montgomery, AL 36130",april.weaver@alhouse.gov,334-261-0491,,,,,,,,,
ocd-person/02655110-0839-4b2e-9f4b-b3a43788e275,Arnold Mooney,Republican,43,lower,Arnold,Mooney,,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Mooney_43.jpeg,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100524&OID_PERSON=7699,http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?OID_SPONSOR=100524&OID_PERSON=7699;http://www.legislature.state.al.us/aliswww/ISD/House/ALRepresentatives.aspx,"Suite 538-D;11 S. Union Street;Montgomery, AL 36130",arnold.mooney@alhouse.gov,334-261-9512,,,,,,,,,
