id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/78d8937f-740a-4f3a-a6a4-5a2884d7997e,"""Able"" Mable Thomas",Democratic,56,lower,Mable,Thomas,,,,,http://www.house.ga.gov/SiteCollectionImages/ThomasMable224.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=224&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=224&Session=27,"511-B Coverdell Legislative Office Bldg.;Atlanta, GA 30334",mable.thomas@house.ga.gov,404-656-6372,,,,,,,,,
ocd-person/a5a0998b-3837-4c4e-a66b-a567dc2f9d77,Al Williams,Democratic,168,lower,Al,Williams,,,,,http://www.house.ga.gov/SiteCollectionImages/WilliamsAl230.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=230&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=230&Session=27,"511-A Coverdell Legislative Office Building;Atlanta, GA 30334",al.williams@house.ga.gov,404-656-6372,,"9041 East Oglethorpe Highway;Midway, GA 31320",,,,,,,
ocd-person/bb48e87c-29db-4a4d-a278-fa299be2020e,Alan Powell,Republican,32,lower,Alan,Powell,,,,,http://www.house.ga.gov/SiteCollectionImages/PowellAlan187.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=187&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=187&Session=27,"613-B Coverdell Legislative Office Building;Atlanta, GA 30334",alanpowell23@hotmail.com,404-463-3793,404-463-1673,"3059 Ridge Road;Hartwell, GA 30643",,706-206-6500,,,,,
ocd-person/4ffa6984-145b-49bc-bdc2-988d3475470e,Andrew J. Welch,Republican,110,lower,Andrew,Welch,,,,,http://www.house.ga.gov/SiteCollectionImages/WelchAndrew777.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=777&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=777&Session=27,"220-B State Capitol;Atlanta, GA 30334",awelch@smithwelchlaw.com,404-656-5912,,"PO Box 2871;McDonough, GA 30253",,770-957-3937,678-583-4888,,,,
ocd-person/d2565b12-22ac-4100-a657-2cdaaca7c7ac,Angelika Kausche,Democratic,50,lower,Angelika,Kausche,,,,,http://www.house.ga.gov/SiteCollectionImages/KauscheAngelika4941.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4941&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4941&Session=27,"409-E Coverdell Legislative Office Bldg.;Atlanta, GA 30334",angelika.kausche@house.ga.gov,404-656-0116,,"5805 State Bridge Rd, Suite G518;Johns Creek, GA 30097",,,,,,,
ocd-person/7ea227b9-339a-485a-bfc8-467206ad2457,Barry Fleming,Republican,121,lower,Barry,Fleming,,,,,http://www.house.ga.gov/SiteCollectionImages/FlemingBarry101.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=101&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=101&Session=27,"132 State Capitol;Atlanta, GA 30334",barry.fleming@house.ga.gov,404-656-5125,,,,,,,,,
ocd-person/f9d51075-c77f-4c05-88b9-ed716fd3b964,Becky Evans,Democratic,83,lower,Becky,Evans,,,,,http://www.house.ga.gov/SiteCollectionImages/EvansBecky4946.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4946&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4946&Session=27,"404-E Coverdell Legislative Office Bldg.;Atlanta, GA 30334",becky.evans@house.ga.gov,404-656-0109,,"P.O. Box 15074;Atlanta, GA 30333",,,,,,,
ocd-person/5dc5b271-abaa-4b6c-9f79-6d428f700315,Bee Nguyen,Democratic,89,lower,Bee,Nguyen,,,,,http://www.house.ga.gov/SiteCollectionImages/NguyenBee4917.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4917&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4917&Session=27,"611-G Coverdell Legislative Office Bldg.;Atlanta, GA 30334",bee.nguyen@house.ga.gov,404-656-0314,,,,,,,,,
ocd-person/fd2717f1-6294-4601-a027-8fc41195372c,Ben Watson,Republican,1,upper,Ben,Watson,,,,,http://www.senate.ga.gov/SiteCollectionImages/WatsonBen784.jpg,http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=784&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=784&Session=27,"320-B Coverdell Legislative Office Building;Atlanta, GA 30334",ben.watson@senate.ga.gov,404-656-7880,,"1326 Eisenhower Drive #2;Savannah, GA 31406",,912-527-5100,,,,,
ocd-person/c73ad247-c75b-454e-a317-6c285e4b3cd5,Bert Reeves,Republican,34,lower,Bert,Reeves,,,,,http://www.house.ga.gov/SiteCollectionImages/ReevesBert869.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=869&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=869&Session=27,"109 State Capitol;Atlanta, GA 30334",bert.reeves@house.ga.gov,404-651-7737,,"890 Crossfire Ridge;Marietta, GA 30064",,770-427-1605,,,,,
ocd-person/d4386045-ecfa-43cf-8c52-ef8ddd74158e,Beth Moore,Democratic,95,lower,Beth,Moore,,,,,http://www.house.ga.gov/SiteCollectionImages/MooreBeth4948.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4948&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4948&Session=27,"507-E Coverdell Legislative Office Bldg.;Atlanta, GA 30334",beth.moore@house.ga.gov,404-656-0202,,"107 Technology Parkway;Peachtree Corners, GA 30092",,404-381-8311,,,,,
ocd-person/c2c81ffc-f4b1-40f4-96b0-6309f89902ee,Betsy Holland,Democratic,54,lower,Betsy,Holland,,,,,http://www.house.ga.gov/SiteCollectionImages/HollandBetsy4943.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4943&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4943&Session=27,"409-B Coverdell Legislative Office Bldg.;Atlanta, GA 30334",betsy.holland@house.ga.gov,404-656-0116,,"535 Pine Tree Drive NE;Atlanta, GA 30305",,331-303-0507,,,,,
ocd-person/4dc87191-fa52-4c2f-bc9c-8823a8b4c882,Bill Cowsert,Republican,46,upper,Bill,Cowsert,,,,,http://www.senate.ga.gov/SiteCollectionImages/CowsertBill9.jpg,http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=9&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=9&Session=27,"121- F State Capitol;Atlanta, GA 30334",bill.cowsert@senate.ga.gov,404-463-1366,404-657-9887,"P.O. Box 512;Athens, GA 30603",,706-543-7700,706-543-7731,,,,
ocd-person/cce8b007-6fec-4947-b919-2c4d5ed77bd6,Bill Heath,Republican,31,upper,Bill,Heath,,,,,http://www.senate.ga.gov/SiteCollectionImages/HeathBill20.jpg,http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=20&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=20&Session=27,"110-C State Capitol;Atlanta, GA 30334",billheath@billheath.net,404-656-3943,404-463-2279,"2225 Cashtown Road;Bremen, GA 30110",,770-537-5234,770-537-6383,,,,
ocd-person/4a9ef816-9130-4510-a19e-3124e3f2aeed,Bill Hitchens,Republican,161,lower,Bill,Hitchens,,,,,http://www.house.ga.gov/SiteCollectionImages/HitchensBill823.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=823&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=823&Session=27,"401-D State Capitol;Atlanta, GA 30334",bill.hitchens@house.ga.gov,404-463-7855,,"2440 Rincon-Stillwell Rd.;Rincon, GA 31326",,,,,,,
ocd-person/adefd0ba-43cd-4aae-9321-12f67e57ac8a,Bill Werkheiser,Republican,157,lower,Bill,Werkheiser,,,,,http://www.house.ga.gov/SiteCollectionImages/WerkheiserBill863.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=863&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=863&Session=27,"401-J State Capitol;Atlanta, GA 30334",bill.werkheiser@house.ga.gov,404-463-7857,,"P.O. Box 27;Glennville, GA 30427",,912-237-0145,,,,,
ocd-person/96307d79-07d4-4f59-9dd3-b7f994d566d5,Billy Mitchell,Democratic,88,lower,Billy,Mitchell,,,,,http://www.house.ga.gov/SiteCollectionImages/MitchellBilly172.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=172&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=172&Session=27,"411-A Coverdell Legislative Office Building;Atlanta, GA 30334",billy.mitchell@house.ga.gov,404-656-0126,,"PO Box 88;Stone Mountain, GA 30086",,,770-465-8888,,,,
ocd-person/e9c5a2fc-3354-49e1-ac29-783502155fe7,Blake Tillery,Republican,19,upper,Blake,Tillery,,,,,http://www.senate.ga.gov/SiteCollectionImages/TilleryBlake4908.jpg,http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=4908&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=4908&Session=27,"109 State Capitol;Atlanta, GA 30334",blake.tillery@senate.ga.gov,404-656-0089,,"404 Durden Street;Vidalia, GA 30474",,912-537-3030,,,,,
ocd-person/08452f85-2530-4c39-8309-22ca020b848e,Bonnie Rich,Republican,97,lower,Bonnie,Rich,,,,,http://www.house.ga.gov/SiteCollectionImages/RichBonnie4949.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4949&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4949&Session=27,"601-D Coverdell Legislative Office Bldg.;Atlanta, GA 30334",bonnie.rich@house.ga.gov,404-656-0254,,"P.O. Box 663;Suwanee, GA 30024",,,,,,,
ocd-person/8d6562cb-cdd0-405f-a165-8463cde26594,Brandon Beach,Republican,21,upper,Brandon,Beach,,,,,http://www.senate.ga.gov/SiteCollectionImages/BeachBrandon840.jpg,http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=840&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=840&Session=27,"303-A Coverdell Legislative Office Building;Atlanta, GA 30334",brandon.beach@senate.ga.gov,404-463-1378,404-463-1386,"3100 Brierfield Road;Alpharetta, GA 30004",,678-640-1811,,,,,
ocd-person/d68d535c-67eb-4c96-a1a4-96a4d78c3709,Brenda Lopez Romero,Democratic,99,lower,Brenda,Lopez,,,,,http://www.house.ga.gov/SiteCollectionImages/Lopez RomeroBrenda4900.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4900&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4900&Session=27,"511-F Coverdell Legislative Office Bldg.;Atlanta, GA 30334",brenda.lopez@house.ga.gov,404-656-6372,,"P.O. Box 886;Norcross, GA 30091",,,,,,,
ocd-person/347e0bf4-a87b-4474-bfd5-6e88633a6d10,Brett Harrell,Republican,106,lower,Brett,Harrell,,,,,http://www.house.ga.gov/SiteCollectionImages/HarrellBrett776.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=776&Session=27,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=776&Session=27,"133 State Capitol;Atlanta, GA 30334",brett.harrell@house.ga.gov,404-656-5103,,"PO Box 1135;Snellville, GA 30078",,404-966-5804,,,,,
