id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/8db31cf2-7d0f-43dd-9245-2a298a5c9b37,Ako Abdul-Samad,Democratic,35,lower,Ako,Abdul-Samad,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=6284,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6284,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6284,,ako.abdul-samad@legis.iowa.gov,515-281-3221,,"1506 18th St, Des Moines, IA 50314",,,,,,,
ocd-person/2d62a4e6-efc4-4171-99c0-6bb54a2e2842,Amanda Ragan,Democratic,27,upper,Amanda,Ragan,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=110,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=110,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=110,,amanda.ragan@legis.iowa.gov,515-281-3371,,"361 S Pennsylvania Ave 1-D, Mason City, IA 50401",,641-424-0874,,,,,
ocd-person/14aced68-fa51-4bb7-8f79-ae7996e55fa2,Amy Nielsen,Democratic,77,lower,Amy,Nielsen,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=18050,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=18050,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=18050,,Amy.Nielsen@legis.iowa.gov,515-281-3221,,"168 Lockmoor Cr, North Liberty, IA 52317",,,,,,,
ocd-person/8e969687-4903-4f3c-a76f-2e35a2232d09,Amy Sinclair,Republican,14,upper,Amy,Sinclair,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=10729,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10729,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10729,,amy.sinclair@legis.iowa.gov,515-281-3371,,"1255 King Rd, Allerton, IA 50008",,,,,,,
ocd-person/0c5035ae-1260-44cc-899b-c6dda5994aee,Andy McKean,Republican,58,lower,Andy,McKean,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=1073,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=1073,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=1073,,Andy.McKean@legis.iowa.gov,515-281-3221,,"509 S Oak St, Anamosa, IA 52205",,,,,,,
ocd-person/f8bf5332-b8b7-4d55-8652-e9b883cae35e,Ann Meyer,Republican,9,lower,,,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=27019,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27019,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27019,,Ann.Meyer@legis.iowa.gov,,,"2908 S Soldier Creek Dr, Fort Dodge, IA 50501",,,,,,,
ocd-person/f7c967d7-bd1b-4cd6-aa35-dfbf0966b382,Anne Osmundson,Republican,56,lower,,,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=27029,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27029,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27029,,Anne.Osmundson@legis.iowa.gov,,,"11663 Bell Road, Volga, IA 52077",,,,,,,
ocd-person/79eacd35-8caf-466e-b75f-0d878dcf5221,Annette Sweeney,Republican,25,upper,Annette,Sweeney,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=6585,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6585,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6585,,annette.sweeney@legis.iowa.gov,515-281-3371,,"21547 Hwy S27, Alden, IA 50006",,,,,,,
ocd-person/57925a0b-3010-440d-a012-c8465535c13e,Art Staed,Democratic,66,lower,Art,Staed,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=10743,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10743,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10743,,art.staed@legis.iowa.gov,515-281-3221,,"2141 Coldstream Ave NE, Cedar Rapids, IA 52402",,,,,,,
ocd-person/91da28bf-148a-4115-9772-e9f0c45fa6be,Ashley Hinson,Republican,67,lower,Ashley,Hinson,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=18049,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=18049,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=18049,,Ashley.Hinson@legis.iowa.gov,515-281-3221,,"5180 Elderton Dr, Marion, IA 52302",,,,,,,
ocd-person/5c955d7c-30ce-4930-9d96-588735b89dc2,Beth Wessel-Kroeschell,Democratic,45,lower,Beth,Wessel-Kroeschell,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=774,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=774,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=774,,beth.wessel-kroeschell@legis.iowa.gov,515-281-3221,,"518 Ash Ave, Ames, IA 50014",,,,,,,
ocd-person/5f79b082-fcb1-431d-98ad-27150167210d,Bob Kressig,Democratic,59,lower,Bob,Kressig,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=781,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=781,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=781,,bob.kressig@legis.iowa.gov,515-281-3221,,"3523 Veralta Dr, Cedar Falls, IA 50613",,319-266-9021,,,,,
ocd-person/96b02859-9182-4192-8e4c-e8be15cb4002,Bobby Kaufmann,Republican,73,lower,Bobby,Kaufmann,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=10756,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10756,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10756,,bobby.kaufmann@legis.iowa.gov,515-281-3221,,"1527 330th St, Wilton, IA 52778",,,,,,,
ocd-person/13357403-7d6d-49f5-9745-f56737e98c95,Brad Zaun,Republican,20,upper,Brad,Zaun,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=788,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=788,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=788,,brad.zaun@legis.iowa.gov,515-281-3371,,"7032 Holcomb Ave, Urbandale, IA 50322",,515-276-2025,,,,,
ocd-person/4dfe4566-e567-4f5f-bc1d-f6dd3febe2ea,Brian Best,Republican,12,lower,Brian,Best,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=14800,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=14800,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=14800,,Brian.Best@legis.iowa.gov,515-281-3221,,"PO Box 491, Glidden, IA 51443",,,,,,,
ocd-person/076d9aaa-b357-4f27-aa57-05bb3c8f2075,Brian K. Lohse,Republican,30,lower,,,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=27022,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27022,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27022,,Brian.Lohse@legis.iowa.gov,,,"PO Box 67, Bondurant, IA 50035",,,,,,,
ocd-person/141dec61-26f0-4155-a86b-9b2179c9546c,Brian Meyer,Democratic,33,lower,Brian,Meyer,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=6377,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6377,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6377,,brian.meyer@legis.iowa.gov,515-281-3221,,"5417 SE 29th St, Des Moines, IA 50320",,,,,,,
ocd-person/ec3b32f6-3fbc-4844-96f0-5115d061f09e,Bruce Bearinger,Democratic,64,lower,Bruce,Bearinger,,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=2019-2020&pid=10738,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10738,https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10738,,bruce.bearinger@legis.iowa.gov,515-281-3221,,"500 7th Ave SE, Oelwein, IA 50662",,,,,,,
