id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/09493dc0-a224-4cf6-a859-1384ffeda8a0,Aisha Gomez,Democratic-Farmer-Labor,62B,lower,Aisha,Gomez,,,,,https://www.house.leg.state.mn.us/hinfo/memberimgls91/62B.gif,http://www.house.leg.state.mn.us/members/profile/15531,http://www.house.leg.state.mn.us/members/hmem.asp,"529 State Office Building;St. Paul, MN 55155",rep.aisha.gomez@house.mn,651-296-7152,,,,,,,,,
ocd-person/112117e4-3755-4e82-b5a3-d38d006336a5,Alice Hausman,Democratic-Farmer-Labor,66A,lower,Alice,Hausman,,,,,https://www.house.leg.state.mn.us/hinfo/memberimgls91/66A.gif,http://www.house.leg.state.mn.us/members/profile/10248,http://www.house.leg.state.mn.us/members/hmem.asp,"453 State Office Building;St. Paul, MN 55155",rep.alice.hausman@house.mn,651-296-3824,,,,,,,,,
ocd-person/00ac39dc-6cee-4f9b-b740-e513bb485122,Alice Mann,Democratic-Farmer-Labor,56B,lower,Alice,Mann,,,,,https://www.house.leg.state.mn.us/hinfo/memberimgls91/56B.gif,http://www.house.leg.state.mn.us/members/profile/15525,http://www.house.leg.state.mn.us/members/hmem.asp,"507 State Office Building;St. Paul, MN 55155",rep.alice.mann@house.mn,651-296-5387,,,,,,,,,
ocd-person/c5c3b855-a01d-43b6-afc9-e02d97c6326f,Ami Wazlawik,Democratic-Farmer-Labor,38B,lower,Ami,Wazlawik,,,,,https://www.house.leg.state.mn.us/hinfo/memberimgls91/38B.gif,http://www.house.leg.state.mn.us/members/profile/15508,http://www.house.leg.state.mn.us/members/hmem.asp,"565 State Office Building;St. Paul, MN 55155",rep.ami.wazlawik@house.mn,651-296-3018,,,,,,,,,
ocd-person/e1a9bedb-213b-4d2b-8121-038487c30846,Andrew Carlson,Democratic-Farmer-Labor,50B,lower,Andrew,Carlson,,,,,https://www.house.leg.state.mn.us/hinfo/memberimgls91/50B.gif,http://www.house.leg.state.mn.us/members/profile/15459,http://www.house.leg.state.mn.us/members/hmem.asp,"557 State Office Building;St. Paul, MN 55155",rep.andrew.carlson@house.mn,651-296-4218,,,,,,,,,
ocd-person/aabdca28-85ec-41e4-be90-726acaaa0cff,Andrew Mathews,Republican,15,upper,Andrew,Mathews,,,,,http://www.senate.mn/graphics/member_thumbnails/15Mathews.jpg,http://www.senate.mn/members/member_bio.php?member_id=1222,http://www.senate.mn/members/member_list_ascii.php?ls=;http://www.senate.mn/members/index.php,"3409 Minnesota Senate Bldg.;95 University Avenue W.;St. Paul, MN 55155",,651-296-8075,,,,,,,,,
ocd-person/3e1cd4f3-2c37-4531-b2cb-ca875c82d773,Andrew R. Lang,Republican,17,upper,Andrew,Lang,,,,,http://www.senate.mn/graphics/member_thumbnails/17Lang.jpg,http://www.senate.mn/members/member_bio.php?member_id=1223,http://www.senate.mn/members/member_list_ascii.php?ls=;http://www.senate.mn/members/index.php,"3205 Minnesota Senate Bldg.;95 University Avenue W.;St. Paul, MN 55155",,651-296-4918,,,,,,,,,
ocd-person/ec588921-873b-4335-8fa1-2e3485008d3e,Ann H. Rest,Democratic-Farmer-Labor,45,upper,Ann,Rest,,,,,http://www.senate.mn/graphics/member_thumbnails/45Rest.jpg,http://www.senate.mn/members/member_bio.php?member_id=1051,http://www.senate.mn/members/member_list_ascii.php?ls=;http://www.senate.mn/members/index.php,"2217 Minnesota Senate Bldg.;95 University Avenue W.;St. Paul, MN 55155",,651-296-2889,,,,,,,,,
ocd-person/180f883e-2b3a-4809-9db4-48eb05ec7609,Anne Claflin,Democratic-Farmer-Labor,54A,lower,Anne,Claflin,,,,,https://www.house.leg.state.mn.us/hinfo/memberimgls91/54A.gif,http://www.house.leg.state.mn.us/members/profile/15522,http://www.house.leg.state.mn.us/members/hmem.asp,"539 State Office Building;St. Paul, MN 55155",rep.anne.claflin@house.mn,651-296-4342,,,,,,,,,
ocd-person/a93779a2-69bc-4d3c-a8c6-530f3eccc341,Anne Neu,Republican,32B,lower,Anne,Neu,,,,,https://www.house.leg.state.mn.us/hinfo/memberimgls91/32B.gif,http://www.house.leg.state.mn.us/members/profile/15494,http://www.house.leg.state.mn.us/members/hmem.asp,"261 State Office Building;St. Paul, MN 55155",rep.anne.neu@house.mn,651-296-5377,,,,,,,,,
ocd-person/2dbc03cb-f958-4e4f-b474-5e1eeab78f8f,Barb Haley,Republican,21A,lower,Barb,Haley,,,,,https://www.house.leg.state.mn.us/hinfo/memberimgls91/21A.gif,http://www.house.leg.state.mn.us/members/profile/15462,http://www.house.leg.state.mn.us/members/hmem.asp,"239 State Office Building;St. Paul, MN 55155",rep.barb.haley@house.mn,651-296-8635,,,,,,,,,
ocd-person/b1922503-4f68-4bb6-ad1b-b0f67e95b567,Ben Lien,Democratic-Farmer-Labor,4A,lower,Ben,Lien,,,,,https://www.house.leg.state.mn.us/hinfo/memberimgls91/04A.gif,http://www.house.leg.state.mn.us/members/profile/15405,http://www.house.leg.state.mn.us/members/hmem.asp,"415 State Office Building;St. Paul, MN 55155",rep.ben.lien@house.mn,651-296-5515,,,,,,,,,
ocd-person/039e7d1f-be0b-414f-bb13-969d17573329,Bill Ingebrigtsen,Republican,8,upper,Bill,Ingebrigtsen,,,,,http://www.senate.mn/graphics/member_thumbnails/08Ingebrigtsen.jpg,http://www.senate.mn/members/member_bio.php?member_id=1120,http://www.senate.mn/members/member_list_ascii.php?ls=;http://www.senate.mn/members/index.php,"3207 Minnesota Senate Bldg.;95 University Avenue W.;St. Paul, MN 55155",sen.bill.ingebrigtsen@senate.mn,651-297-8063,,,,,,,,,
ocd-person/f839da78-1e9c-4e4b-b1d7-d203970ec6b2,Bill Weber,Republican,22,upper,Bill,Weber,,,,,http://www.senate.mn/graphics/member_thumbnails/22Weber.jpg,http://www.senate.mn/members/member_bio.php?member_id=1199,http://www.senate.mn/members/member_list_ascii.php?ls=;http://www.senate.mn/members/index.php,"704 Traveling Hail Circle;Luverne, MN 56156",sen.bill.weber@senate.mn,651-296-5650,,,,,,,,,
