id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/a87535b2-5607-48d5-9d11-f20cc1d0d4ee,Allen McNeill,Republican,78,lower,Allen,McNeill,,,,,http://www.ncleg.net/House/pictures/hiRes/635.jpg,https://www.ncleg.gov/Members/Biography/H/635,https://www.ncleg.gov/Members/Biography/H/635,"300 N. Salisbury Street, Rm. 411;Raleigh, NC 27603-5925",Allen.McNeill@ncleg.net,919-715-4946,,"4172 NC Hwy 49 South;Asheboro, NC 27205",,336-302-0263,,,,,
ocd-person/785927b3-34ca-4a2d-bc1c-df4cc8e16c47,Allison A. Dahle,Democratic,11,lower,,,,,,,,https://www.ncleg.gov/Members/Biography/H/740,https://www.ncleg.gov/Members/Biography/H/740,"16 West Jones Street, Rm. 1015;Raleigh, NC 27601-1096",Allison.Dahle@ncleg.net,919-733-5755,,"16 West Jones Street, Rm. 1015;Raleigh, NC 27601-1096",,919-733-5755,,,,,
ocd-person/46275779-8191-48be-8b0b-8373376fa23d,"Amos L. Quick, III",Democratic,58,lower,Amos L.,Quick,,,,,http://www.ncleg.net/House/pictures/hiRes/725.jpg,https://www.ncleg.gov/Members/Biography/H/725,https://www.ncleg.gov/Members/Biography/H/725,"300 N. Salisbury Street, Rm. 510;Raleigh, NC 27603-5925",Amos.Quick@ncleg.net,919-733-5902,,"300 N. Salisbury Street, Rm. 510;Raleigh, NC 27603-5925",,919-733-5902,,,,,
ocd-person/592b61c5-fbc2-4d1a-a122-61fa13efb30a,Andy Wells,Republican,42,upper,Andy,Wells,,,,,http://www.ncleg.net/Senate/pictures/hiRes/388.jpg,https://www.ncleg.gov/Members/Biography/S/388,https://www.ncleg.gov/Members/Biography/S/388,"16 West Jones Street, Rm. 1028;Raleigh, NC 27601",Andy.Wells@ncleg.net,919-733-5876,,"16 West Jones Street, Rm. 1028;Raleigh, NC 27601-2808",,919-733-5876,,,,,
ocd-person/0dea5927-d667-4202-9deb-336c83fc382c,Ashton Wheeler Clemmons,Democratic,57,lower,,,,,,,,https://www.ncleg.gov/Members/Biography/H/739,https://www.ncleg.gov/Members/Biography/H/739,"16 West Jones Street, Rm. 1211;Raleigh, NC 27601-1096",Ashton.Clemmons@ncleg.net,919-733-5781,,"1607 Beechtree Rd;Greensboro, NC 27408",,919-733-5781,,,,,
ocd-person/367ad234-14bc-4d86-95ee-ab1176890d6e,Becky Carney,Democratic,102,lower,Becky,Carney,,,,,http://www.ncleg.net/House/pictures/hiRes/322.jpg,https://www.ncleg.gov/Members/Biography/H/322,https://www.ncleg.gov/Members/Biography/H/322,"16 West Jones Street, Rm. 1221;Raleigh, NC 27601-1096",Becky.Carney@ncleg.net,919-733-5827,,"PO Box 32873;Charlotte, NC 28232",,919-733-5827,,,,,
ocd-person/10ce1e75-1759-4304-9e9a-02141d852c31,Ben Clark,Democratic,21,upper,Ben,Clark,,,,,http://www.ncleg.net/Senate/pictures/hiRes/380.jpg,https://www.ncleg.gov/Members/Biography/S/380,https://www.ncleg.gov/Members/Biography/S/380,"16 West Jones Street, Rm. 1117;Raleigh, NC 27601",Ben.Clark@ncleg.net,919-733-9349,,"16 West Jones Street, Rm. 1117;Raleigh, NC 27601-2808",,919-733-9349,,,,,
ocd-person/ac7e8e60-b5cb-41c2-92f9-1bdf9204f79a,Bill Rabon,Republican,8,upper,Bill,Rabon,,,,,http://www.ncleg.net/Senate/pictures/hiRes/303.jpg,https://www.ncleg.gov/Members/Biography/S/303,https://www.ncleg.gov/Members/Biography/S/303,"16 West Jones Street, Rm. 2010;Raleigh, NC 27601",Bill.Rabon@ncleg.net,919-733-5963,,"16 West Jones Street, Rm. 2010;Raleigh, NC 27601-1096",,919-733-5963,,,,,
ocd-person/6560fec2-0077-4d10-a9bf-02263ceee239,Bob Steinburg,Republican,1,upper,Bob,Steinburg,,,,,http://www.ncleg.net/House/pictures/hiRes/666.jpg,https://www.ncleg.gov/Members/Biography/S/415,https://www.ncleg.gov/Members/Biography/S/415,"300 N. Salisbury Street, Rm. 301-B;Raleigh, NC 27603",Bob.Steinburg@ncleg.net,919-715-8293,,"300 N. Salisbury Street, Room 301B, Raleigh, NC 27603-5925",,919-733-0010,,,,,
ocd-person/41ec2bea-bc6e-4da2-a68a-e641a3c3816b,Bobby Hanig,Republican,6,lower,,,,,,,,https://www.ncleg.gov/Members/Biography/H/745,https://www.ncleg.gov/Members/Biography/H/745,"300 N. Salisbury Street, Rm. 604;Raleigh, NC 27603-5925",Bobby.Hanig@ncleg.net,919-733-5906,,"102 Orchard Ln;Powells Point, NC 27966",,919-733-5906,,,,,
