id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/e258d8d8-d2b3-4a97-b9ba-53dcee8f0940,Amanda Estep-Burton,Democratic,36,lower,Amanda,Estep-Burton,,,,,http://www.legis.state.wv.us/images/members/2019/house/estepburton_amanda.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Estep-Burton,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Estep-Burton,"Room 229E, Building 1;State Capitol Complex;Charleston, WV 25305",amanda.estepburton@wvhouse.gov,304-340-3138,,"49 Ashworth Drive;Charleston, WV, 25309",,304-415-7780,,,,,
ocd-person/7a87143b-8365-4687-b116-aa6dc4ff096e,Amy Summers,Republican,49,lower,Amy,Summers,,,,,http://www.legis.state.wv.us/images/members/2019/house/summers_amy.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Summers,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Summers,"Room 228M, Building 1;State Capitol Complex;Charleston, WV 25305",amy.summers@wvhouse.gov,304-340-3139,,"98 Meadland Road;Flemington, WV, 26347",,304-842-7958,,,,,
ocd-person/34d5c5d9-7554-40f6-8fea-90680994c0e1,Andrew Byrd,Democratic,35,lower,Andrew,Byrd,,,,,http://www.legis.state.wv.us/images/members/2019/house/byrd_andrew.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Byrd,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Byrd,"Room 151R, Building 1;State Capitol Complex;Charleston, WV 25305",andrew.byrd@wvhouse.gov,304-340-3362,,,,304-741-3083,,,,,
ocd-person/35d307d0-e01c-41f7-b897-166a6f5320ab,Andrew Robinson,Democratic,36,lower,Andrew,Robinson,,,,,http://www.legis.state.wv.us/images/members/2019/house/robinson_andrew.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Robinson,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Robinson,"Room 151R, Building 1;State Capitol Complex;Charleston, WV 25305",andrew.robinson@wvhouse.gov,304-340-3156,,"5506 Staunton Avenue;Charleston, WV, 25304",,304-545-7378,,,,,
ocd-person/e5a52b52-3ddf-45d7-b458-44f8fd556389,Barbara Evans Fleischauer,Democratic,51,lower,Barbara,Fleischauer,,,,,http://www.legis.state.wv.us/images/members/2019/house/fleischauer_barbara.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Fleischauer,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Fleischauer,"Room 151R, Building 1;State Capitol Complex;Charleston, WV 25305",barbaraf@wvhouse.gov,304-340-3127,,"235 High Street, Suite 618;Morgantown, WV, 26505",,,,,,,
ocd-person/de50d28d-6a58-4244-8c74-36ca3f41767a,Ben Queen,Republican,48,lower,Ben,Queen,,,,,http://www.legis.state.wv.us/images/members/2019/house/queen_ben.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Queen,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Queen,"Room 221E, Building 1;State Capitol Complex;Charleston, WV 25305",ben.queen@wvhouse.gov,304-340-3171,,"P.O. Box 1311;Bridgeport, WV, 26330",,304-709-2013,,,,,
ocd-person/8bd21671-34c1-4ba3-aced-0dcaa110029c,Bill Hamilton,Republican,11,upper,Bill,Hamilton,,,,,http://www.legis.state.wv.us/images/members/2019/senate/hamilton_bill.jpg,http://www.legis.state.wv.us/Senate1/lawmaker.cfm?member=Senator+Hamilton,http://www.legis.state.wv.us/Senate1/lawmaker.cfm?member=Senator+Hamilton,"Room 223W, Building 1;State Capitol Complex;Charleston, WV 25305",bill.hamilton@wvsenate.gov,304-357-7906,,"P.O. Box 1192;Buckhannon, WV, 26201",,304-997-2625,,,,,
ocd-person/98b93926-7d9c-4553-8278-7e585a1482b9,Brandon Steele,Republican,29,lower,Brandon,Steele,,,,,http://www.legis.state.wv.us/images/members/2019/house/steele_brandon.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Steele,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Steele,"Room 205E, Building 1;State Capitol Complex;Charleston, WV 25305",brandon.steele@wvhouse.gov,304-340-3162,,"407 Millstone Drive;Beckley, WV, 25801",,304-575-3508,,,,,
ocd-person/1c7ea125-52f1-4c4d-b288-30792fd4f69d,Brent Boggs,Democratic,34,lower,Brent,Boggs,,,,,http://www.legis.state.wv.us/images/members/2019/house/boggs_brent.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Boggs,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Boggs,"Room 258M, Building 1;State Capitol Complex;Charleston, WV 25305",brent.boggs@wvhouse.gov,304-340-3142,,"151 Park Street;Gassaway, WV, 26624",,304-364-8411,,,,,
ocd-person/71055570-072a-4ab4-a7a1-dcd265600c27,Caleb Hanna,Republican,44,lower,Caleb,Hanna,,,,,http://www.legis.state.wv.us/images/members/2019/house/hanna_caleb.jpg,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Hanna,http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate+Hanna,"Room 220E, Building 1;State Capitol Complex;Charleston, WV 25305",caleb.hanna@wvhouse.gov,304-340-3916,,,,,,,,,
